baseline,benchmark,mean_delta,metric,n_seed_pairs,outcome,task
robust,openml_balance_scale,-0.0015220700152207185,accuracy,3,loss,classification
robust,openml_banknote_authentication,1.1638528170210272e-05,auroc,3,win,classification
robust,openml_cmc,0.003875968992248069,accuracy,3,win,classification
robust,openml_credit_approval,-0.007824823294200867,auroc,3,loss,classification
robust,openml_credit_g,-0.006918650265234083,auroc,3,loss,classification
robust,openml_diabetes,0.017100295944180572,auroc,3,win,classification
robust,openml_iris,0.012578616352201255,accuracy,3,win,classification
robust,openml_spambase,-0.001055297330366578,auroc,3,loss,classification
robust,openml_tic_tac_toe,0.0002071525600259768,auroc,3,win,classification
robust,openml_vehicle,0.026936026936026886,accuracy,3,win,classification
robust,openml_wdbc,0.0007093317431180098,auroc,3,win,classification
robust,openml_wine_quality,-1.3110618448293938e-06,rmse,3,loss,regression
selector,openml_balance_scale,-0.022831050228310557,accuracy,3,loss,classification
selector,openml_banknote_authentication,-0.0004264412298209397,auroc,3,loss,classification
selector,openml_cmc,-0.021317829457364306,accuracy,3,loss,classification
selector,openml_credit_approval,0.0017465477699287746,auroc,3,win,classification
selector,openml_credit_g,-0.006695173281562587,auroc,3,loss,classification
selector,openml_diabetes,-0.008439891855110626,auroc,3,loss,classification
selector,openml_iris,-0.012578616352201255,accuracy,3,loss,classification
selector,openml_spambase,-0.013717006252017253,auroc,3,loss,classification
selector,openml_tic_tac_toe,-0.005362260819683347,auroc,3,loss,classification
selector,openml_vehicle,0.019079685746352364,accuracy,3,win,classification
selector,openml_wdbc,0.0031269141607003967,auroc,3,win,classification
selector,openml_wine_quality,-5.801149730958836e-08,rmse,3,loss,regression
standard,openml_balance_scale,-0.003044140030441437,accuracy,3,loss,classification
standard,openml_banknote_authentication,5.7874954629462865e-06,auroc,3,win,classification
standard,openml_cmc,0.005167958656330758,accuracy,3,win,classification
standard,openml_credit_approval,0.0064079069484219335,auroc,3,win,classification
standard,openml_credit_g,-0.000630089455345817,auroc,3,loss,classification
standard,openml_diabetes,0.01737989103684497,auroc,3,win,classification
standard,openml_iris,-0.02515723270440251,accuracy,3,loss,classification
standard,openml_spambase,0.00089985327340103,auroc,3,win,classification
standard,openml_tic_tac_toe,-0.005362260819683347,auroc,3,loss,classification
standard,openml_vehicle,0.007856341189674487,accuracy,3,win,classification
standard,openml_wdbc,0.0016695018555797174,auroc,3,win,classification
standard,openml_wine_quality,-1.7391369825740335e-10,rmse,3,tie,regression
